full_text,cleaned-texts,stemmed-texts,tokenized-texts,pre-process,sentiment_score,sentiment
"sy sdh mengetahui apa yg hrs dijadikan concern di dunia pendidikan biasa klo di lingkungan ngontakners kbtulan tetangga org ASN, apa yg disampaikan Pak Anies 100% VALID guru tdk fokus dgn bidangnya trlalu byk pekerjaan yg bersifat administratif  ABAH ANIES ROCKS DEBAT CAPRES",sy sdh mengetahui apa yg hrs dijadikan concern di dunia pendidikan biasa klo di lingkungan ngontakners kbtulan tetangga org asn  apa yg disampaikan pak anies 100  valid guru tdk fokus dgn bidangnya trlalu byk pekerjaan yg bersifat administratif  abah anies rocks debat capres,sy sdh tahu apa yg hrs jadi concern di dunia didik biasa klo di lingkung ngontakners kbtulan tetangga org asn apa yg sampai pak anies 100 valid guru tdk fokus dgn bidang trlalu byk kerja yg sifat administratif abah anies rocks debat capres,,sy sdh tahu apa yg hrs jadi concern di dunia didik biasa klo di lingkung ngontakners kbtulan tetangga org asn apa yg sampai pak anies 100 valid guru tdk fokus dgn bidang trlalu byk kerja yg sifat administratif abah anies rocks debat capres,17,Positif
"bjir bilang pa anies kurang tegas, lu aja td ditanya apa jawab apa",bjir bilang pa anies kurang tegas  lu aja td ditanya apa jawab apa,bjir bilang pa anies kurang tegas lu aja td tanya apa jawab apa,,bjir bilang pa anies kurang tegas lu aja td tanya apa jawab apa,-12,Negatif
"maneh yang gak nyambung Prabowo, bukan Anies yang gak tegas",maneh yang gak nyambung prabowo  bukan anies yang gak tegas,maneh yang gak nyambung prabowo bukan anies yang gak tegas,,maneh yang gak nyambung prabowo bukan anies yang gak tegas,-14,Negatif
WUOOOHH ANIES PROGRESIF COYY “PEREMPUAN HARUS PUNYA WAGE YG SAMA DENGAN LAKI-LAKI”😋😋😋😋😋,wuooohh anies progresif coyy  perempuan harus punya wage yg sama dengan laki laki      ,wuooohh anies progresif coyy perempuan harus punya wage yg sama dengan laki laki,,wuooohh anies progresif coyy perempuan harus punya wage yg sama dengan laki laki,15,Positif
Pak anies kurang tegas nih ahhhh nooobbb,pak anies kurang tegas nih ahhhh nooobbb,pak anies kurang tegas nih ahhhh nooobbb,,pak anies kurang tegas nih ahhhh nooobbb,-4,Negatif
pertanyaannya anies dari awal sudah sejelas itu,pertanyaannya anies dari awal sudah sejelas itu,tanya anies dari awal sudah jelas itu,,tanya anies dari awal sudah jelas itu,3,Positif
"Anies dan PKS mendukung peningkatan kapasitas guru dalam menyediakan pembelajaran daring, menghadapi dinamika perubahan teknologi. #CoblosPKSAniesPresiden AniesPresiden PKSPartaiku",anies dan pks mendukung peningkatan kapasitas guru dalam menyediakan pembelajaran daring  menghadapi dinamika perubahan teknologi   coblospksaniespresiden aniespresiden pkspartaiku,anies dan pks dukung tingkat kapasitas guru dalam sedia ajar daring hadap dinamika ubah teknologi coblospksaniespresiden aniespresiden pkspartaiku,,anies dan pks dukung tingkat kapasitas guru dalam sedia ajar daring hadap dinamika ubah teknologi coblospksaniespresiden aniespresiden pkspartaiku,23,Positif
“Perempuan harus punya upah yang setara dengan laki-laki” OMG PAK ANIES IS A PROGRESSIVE FEMINIST WE LOVE TO SEE IT!!!! #debatcapres2024 #DebatCapres, perempuan harus punya upah yang setara dengan laki laki  omg pak anies is a progressive feminist we love to see it      debatcapres2024  debatcapres,perempuan harus punya upah yang tara dengan laki laki omg pak anies is a progressive feminist we love to see it debatcapres2024 debatcapres,,perempuan harus punya upah yang tara dengan laki laki omg pak anies is a progressive feminist we love to see it debatcapres2024 debatcapres,22,Positif
pak anies ngedenger jawaban El gemoy 😁😁😁 #debatcapres2024,pak anies ngedenger jawaban el gemoy      debatcapres2024,pak anies ngedenger jawab el gemoy debatcapres2024,,pak anies ngedenger jawab el gemoy debatcapres2024,0,Netral
"Sejak nonton desak Anies, Selalu terkesima dengan permainan diksi dan kata kata beliau",sejak nonton desak anies  selalu terkesima dengan permainan diksi dan kata kata beliau,sejak nonton desak anies selalu kesima dengan main diksi dan kata kata beliau,,sejak nonton desak anies selalu kesima dengan main diksi dan kata kata beliau,5,Positif
@txtdrimedia Anies sama ganjar.. yg tengah ngikut ‘setuju’ doang ga seru., txtdrimedia anies sama ganjar   yg tengah ngikut  setuju  doang ga seru ,txtdrimedia anies sama ganjar yg tengah ngikut tuju doang ga seru,,txtdrimedia anies sama ganjar yg tengah ngikut tuju doang ga seru,8,Positif
Scene 13 INT - Ruang Debat - Night                               Cak Imin          (Menyilangkan tangan di dada) Mas Anies kok jadi lebih klik sama Pak Ganjar ya?                            Prof Mahfud hmmm aku udah resign lhoooo Pak Ganjaaaaarr,scene 13 int   ruang debat   night                               cak imin           menyilangkan tangan di dada  mas anies kok jadi lebih klik sama pak ganjar ya                             prof mahfud hmmm aku udah resign lhoooo pak ganjaaaaarr,scene 13 int ruang debat night cak imin silang tangan di dada mas anies kok jadi lebih klik sama pak ganjar ya prof mahfud hmmm aku udah resign lhoooo pak ganjaaaaarr,,scene 13 int ruang debat night cak imin silang tangan di dada mas anies kok jadi lebih klik sama pak ganjar ya prof mahfud hmmm aku udah resign lhoooo pak ganjaaaaarr,18,Positif
Anies: “Eh lu dengerin ngga sih apa pertanyaan gue? Coba lo jawab lagi yang bener habis ini ya soalnya perempuan tuh butuh dimuliakan.”,anies   eh lu dengerin ngga sih apa pertanyaan gue  coba lo jawab lagi yang bener habis ini ya soalnya perempuan tuh butuh dimuliakan  ,anies eh lu dengerin ngga sih apa tanya gue coba lo jawab lagi yang bener habis ini ya soal perempuan tuh butuh mulia,,anies eh lu dengerin ngga sih apa tanya gue coba lo jawab lagi yang bener habis ini ya soal perempuan tuh butuh mulia,-7,Negatif
pak anies… huhu… kl dia kalah indonesia yg rugi 😭😭😭,pak anies  huhu  kl dia kalah indonesia yg rugi    ,pak anies huhu kl dia kalah indonesia yg rugi,,pak anies huhu kl dia kalah indonesia yg rugi,1,Positif
@presidentmoy ganjar anies nih kaya bff abis, presidentmoy ganjar anies nih kaya bff abis,presidentmoy ganjar anies nih kaya bff abis,,presidentmoy ganjar anies nih kaya bff abis,5,Positif
PAK ANIES MAKASIH SEKALI SUDAH MENYUARAKAN KEAMANAN PEREMPUAN,pak anies makasih sekali sudah menyuarakan keamanan perempuan,pak anies makasih sekali sudah suara aman perempuan,,pak anies makasih sekali sudah suara aman perempuan,10,Positif
pak prabs ditanya apa jawabnya apa atuh. mantaps pak anies angkat isu soal perempuan 😙,pak prabs ditanya apa jawabnya apa atuh  mantaps pak anies angkat isu soal perempuan  ,pak prabs tanya apa jawab apa atuh mantaps pak anies angkat isu soal perempuan,,pak prabs tanya apa jawab apa atuh mantaps pak anies angkat isu soal perempuan,-2,Negatif
"@imanlagi Bang Iman, minta tolong Pak ARB dibisikin sesekali promosi Desal Anies biar viewer TV &amp  Youtube mampir juga nonton Desak Anies, siapa tau engagementnya naik &amp  sekaligus nambah voter", imanlagi bang iman  minta tolong pak arb dibisikin sesekali promosi desal anies biar viewer tv  amp  youtube mampir juga nonton desak anies  siapa tau engagementnya naik  amp  sekaligus nambah voter,imanlagi bang iman minta tolong pak arb dibisikin sekal promosi desal anies biar viewer tv amp youtube mampir juga nonton desak anies siapa tau engagementnya naik amp sekaligus nambah voter,,imanlagi bang iman minta tolong pak arb dibisikin sekal promosi desal anies biar viewer tv amp youtube mampir juga nonton desak anies siapa tau engagementnya naik amp sekaligus nambah voter,2,Positif
"as a woman, big thanks to pak anies karna bringing the woman topic up. but feel bad for u pak karna malah dibilang kurang tegas pertanyaannya😭🙏🏻",as a woman  big thanks to pak anies karna bringing the woman topic up  but feel bad for u pak karna malah dibilang kurang tegas pertanyaannya   ,as a woman big thanks to pak anies karna bringing the woman topic up but feel bad for u pak karna malah bilang kurang tegas tanya,,as a woman big thanks to pak anies karna bringing the woman topic up but feel bad for u pak karna malah bilang kurang tegas tanya,0,Netral
ANIES MENTIONING CAT-CALLING AS PERLINDUNGAN TERHADAP PEREMPUAN 🥹 #DebatCapres #DebatCapresTerakhir #debatcapres2024,anies mentioning cat calling as perlindungan terhadap perempuan    debatcapres  debatcapresterakhir  debatcapres2024,anies mentioning cat calling as lindung hadap perempuan debatcapres debatcapresterakhir debatcapres2024,,anies mentioning cat calling as lindung hadap perempuan debatcapres debatcapresterakhir debatcapres2024,9,Positif
"mau nangis bgt pak anies bahasnya ttg perlindungan perempuan, mana mention catcalling🥺🥺🥺",mau nangis bgt pak anies bahasnya ttg perlindungan perempuan  mana mention catcalling   ,mau nang bgt pak anies bahas ttg lindung perempuan mana mention catcalling,,mau nang bgt pak anies bahas ttg lindung perempuan mana mention catcalling,8,Positif
"ABAH NANGIS BANGET SUMPAH, sampai bahas cat calling, dan memuliakan perempuan😭😭  ABAH ANIES ROCKS DEBAT CAPRES  #AForEvery1  #AniesFinalStage #debatcapres2024",abah nangis banget sumpah  sampai bahas cat calling  dan memuliakan perempuan    abah anies rocks debat capres   aforevery1   aniesfinalstage  debatcapres2024,abah nang banget sumpah sampai bahas cat calling dan mulia perempuan abah anies rocks debat capres aforevery1 aniesfinalstage debatcapres2024,,abah nang banget sumpah sampai bahas cat calling dan mulia perempuan abah anies rocks debat capres aforevery1 aniesfinalstage debatcapres2024,15,Positif
pak Anies mending langsung jadi presiden aja,pak anies mending langsung jadi presiden aja,pak anies mending langsung jadi presiden aja,,pak anies mending langsung jadi presiden aja,5,Positif
"Dari catcalling sampai kekerasan...""  Anies Baswedan berbicara masalah perempuan  There's no way I won't coblos number one 🗳️📌""",dari catcalling sampai kekerasan      anies baswedan berbicara masalah perempuan  there s no way i won t coblos number one     ,dari catcalling sampai keras anies baswedan bicara masalah perempuan there s no way i won t coblos number one,,dari catcalling sampai keras anies baswedan bicara masalah perempuan there s no way i won t coblos number one,0,Netral
YA ALLAH ABAH ANIES MULIA SEKALI PEMIKIRAN YANG ABAH PUNYA TENTANG KEAMANAN PEREMPUAN🥹💘,ya allah abah anies mulia sekali pemikiran yang abah punya tentang keamanan perempuan  ,ya allah abah anies mulia sekali pikir yang abah punya tentang aman perempuan,,ya allah abah anies mulia sekali pikir yang abah punya tentang aman perempuan,21,Positif
LAH KO MALAH PAK ANIES YG KURANG TEGAS WKWK,lah ko malah pak anies yg kurang tegas wkwk,lah ko malah pak anies yg kurang tegas wkwk,,lah ko malah pak anies yg kurang tegas wkwk,-11,Negatif
anies malah ngejawabin buat prabowo aduh 🤭  ya kalo cuma ditegakkan berarti skrg udh cukup???? sianying nangis😭😭😭😭😭😭😭😭😭😭😭😭😭 #debatcapres,anies malah ngejawabin buat prabowo aduh    ya kalo cuma ditegakkan berarti skrg udh cukup     sianying nangis               debatcapres,anies malah ngejawabin buat prabowo aduh ya kalo cuma tegak arti skrg udh cukup sianying nang debatcapres,,anies malah ngejawabin buat prabowo aduh ya kalo cuma tegak arti skrg udh cukup sianying nang debatcapres,-11,Negatif
"mas anies kurang tegas bahas perlindungan perempuan"" HE LITERALLY ASKED U????""",mas anies kurang tegas bahas perlindungan perempuan  he literally asked u     ,mas anies kurang tegas bahas lindung perempuan he literally asked u,,mas anies kurang tegas bahas lindung perempuan he literally asked u,8,Positif
Masya Allah Abah Anies  ABAH ANIES ROCKS DEBAT CAPRES #AForEvery1 #AniesFinalStage #debatcapres2024,masya allah abah anies  abah anies rocks debat capres  aforevery1  aniesfinalstage  debatcapres2024,masya allah abah anies abah anies rocks debat capres aforevery1 aniesfinalstage debatcapres2024,,masya allah abah anies abah anies rocks debat capres aforevery1 aniesfinalstage debatcapres2024,17,Positif
pak anies bahas catcalling🥹akhirnyaa huhu,pak anies bahas catcalling akhirnyaa huhu,pak anies bahas catcalling akhirnyaa huhu,,pak anies bahas catcalling akhirnyaa huhu,6,Positif
anies sampe mention catcalling hal yang dianggap sepele sm masyarakat sekarang. my respect goes📈📈📈📈📈📈,anies sampe mention catcalling hal yang dianggap sepele sm masyarakat sekarang  my respect goes      ,anies sampe mention catcalling hal yang anggap sepele sm masyarakat sekarang my respect goes,,anies sampe mention catcalling hal yang anggap sepele sm masyarakat sekarang my respect goes,3,Positif
"Ini juga pertanyaan dari Pak Anies dan Pak Ganjar bagus², tepat sasaran sama yg emang lagi jadi sorotan (bansos, makan siang gratis, kesejahteraan pekerja) dan yg masih minim dari sorotan (perlindungan perempuan) di pembahasan visi misi capres.",ini juga pertanyaan dari pak anies dan pak ganjar bagus   tepat sasaran sama yg emang lagi jadi sorotan  bansos  makan siang gratis  kesejahteraan pekerja  dan yg masih minim dari sorotan  perlindungan perempuan  di pembahasan visi misi capres ,ini juga tanya dari pak anies dan pak ganjar bagus tepat sasar sama yg emang lagi jadi sorot bansos makan siang gratis sejahtera kerja dan yg masih minim dari sorot lindung perempuan di bahas visi misi capres,,ini juga tanya dari pak anies dan pak ganjar bagus tepat sasar sama yg emang lagi jadi sorot bansos makan siang gratis sejahtera kerja dan yg masih minim dari sorot lindung perempuan di bahas visi misi capres,28,Positif
padahal dari awal pertanyaan pak anies udh sangat jelas😭 pakk wowo pulang aja dah pakk.,padahal dari awal pertanyaan pak anies udh sangat jelas  pakk wowo pulang aja dah pakk ,padahal dari awal tanya pak anies udh sangat jelas pakk wowo pulang aja dah pakk,,padahal dari awal tanya pak anies udh sangat jelas pakk wowo pulang aja dah pakk,-4,Negatif
ADUH BANGKEEEEE ITU PAK ANIES UDAH NGOMONG DI AWAL GUE AJA NANGKEP,aduh bangkeeeee itu pak anies udah ngomong di awal gue aja nangkep,aduh bangkeeeee itu pak anies udah ngomong di awal gue aja nangkep,,aduh bangkeeeee itu pak anies udah ngomong di awal gue aja nangkep,-9,Negatif
"Capres no urut 1 Anies Baswedan bertanya ke capres no urut 2 Prabowo Subianto.  Anies mengatakan gagasan pak Prabowo adalah keberlanjutan. Terkait dengan persoalan perempuan, bisakah dijelaskan apa yang kurang dari perlindungan perempuan.  #debatcapres",capres no urut 1 anies baswedan bertanya ke capres no urut 2 prabowo subianto   anies mengatakan gagasan pak prabowo adalah keberlanjutan  terkait dengan persoalan perempuan  bisakah dijelaskan apa yang kurang dari perlindungan perempuan    debatcapres,capres no urut 1 anies baswedan tanya ke capres no urut 2 prabowo subianto anies kata gagas pak prabowo adalah lanjut kait dengan soal perempuan bisa jelas apa yang kurang dari lindung perempuan debatcapres,,capres no urut 1 anies baswedan tanya ke capres no urut 2 prabowo subianto anies kata gagas pak prabowo adalah lanjut kait dengan soal perempuan bisa jelas apa yang kurang dari lindung perempuan debatcapres,20,Positif
ANIES BASICALLY SHOWING OFF DIA DEKET SAMA PEREMPUAN DAN PEREMPUAN MUDA (anaknya) DAN EKOSISTEMNYA.  PRABOWO ENGGAK 😭😭😭😭,anies basically showing off dia deket sama perempuan dan perempuan muda  anaknya  dan ekosistemnya   prabowo enggak     ,anies basically showing off dia deket sama perempuan dan perempuan muda anak dan ekosistem prabowo enggak,,anies basically showing off dia deket sama perempuan dan perempuan muda anak dan ekosistem prabowo enggak,13,Positif
cok malah nyalahin anies,cok malah nyalahin anies,cok malah nyalahin anies,,cok malah nyalahin anies,-8,Negatif
"Anies Baswedan menyampaikan visi misi pada Debat Capres Pamungkas. Namun, Anies sempat menggunakan bahasa isyarat saat membukanya.  #debatcapres2024 #DebatCapresTerakhir #DebatPilpres  https://t.co/2j8jkezDC3",anies baswedan menyampaikan visi misi pada debat capres pamungkas  namun  anies sempat menggunakan bahasa isyarat saat membukanya    debatcapres2024  debatcapresterakhir  debatpilpres  https   t co 2j8jkezdc3,anies baswedan sampai visi misi pada debat capres pamungkas namun anies sempat guna bahasa isyarat saat buka debatcapres2024 debatcapresterakhir debatpilpres https t co 2j8jkezdc3,,anies baswedan sampai visi misi pada debat capres pamungkas namun anies sempat guna bahasa isyarat saat buka debatcapres2024 debatcapresterakhir debatpilpres https t co 2j8jkezdc3,12,Positif
Pak anies bilang cat calling. MENYALA ABANGKUHHHHH❤️‍🔥❤️‍🔥❤️‍🔥,pak anies bilang cat calling  menyala abangkuhhhhh            ,pak anies bilang cat calling nyala abangkuhhhhh,,pak anies bilang cat calling nyala abangkuhhhhh,7,Positif
pak anies tuh selalu menampung semua pertanyaan yang ada di desak anies anjir terharu. dibahas semua di debat capres ce,pak anies tuh selalu menampung semua pertanyaan yang ada di desak anies anjir terharu  dibahas semua di debat capres ce,pak anies tuh selalu tampung semua tanya yang ada di desak anies anjir haru bahas semua di debat capres ce,,pak anies tuh selalu tampung semua tanya yang ada di desak anies anjir haru bahas semua di debat capres ce,12,Positif
So true Anies. Thank you. Kenapa jawaban yg sebrang malah ngaco... pertanyaannya perlindungan dan pemberdayaan kenapa malah melimpir ke mana-mana seperti pendidikan dan karir? Two completely different situation,so true anies  thank you  kenapa jawaban yg sebrang malah ngaco    pertanyaannya perlindungan dan pemberdayaan kenapa malah melimpir ke mana mana seperti pendidikan dan karir  two completely different situation,so true anies thank you kenapa jawab yg sebrang malah ngaco tanya lindung dan daya kenapa malah melimpir ke mana mana seperti didik dan karir two completely different situation,,so true anies thank you kenapa jawab yg sebrang malah ngaco tanya lindung dan daya kenapa malah melimpir ke mana mana seperti didik dan karir two completely different situation,-5,Negatif
@idextratime 🔥🔥🔥🔥🔥🔥🔥🔥 delapan api menyala Anies presiden ke 8, idextratime          delapan api menyala anies presiden ke 8,idextratime delapan api nyala anies presiden ke 8,,idextratime delapan api nyala anies presiden ke 8,7,Positif
"Interpretasi: Korban kekerasan seksual solusinya dikasih makanan bergizi"" ~Omon, 2024  #AniesFinalStage ABAH ANIES ROCKS DEBAT CAPRES 🦉🐝""",interpretasi  korban kekerasan seksual solusinya dikasih makanan bergizi   omon  2024   aniesfinalstage abah anies rocks debat capres    ,interpretasi korban keras seksual solusi kasih makan gizi omon 2024 aniesfinalstage abah anies rocks debat capres,,interpretasi korban keras seksual solusi kasih makan gizi omon 2024 aniesfinalstage abah anies rocks debat capres,-4,Negatif
ngeliat pak anies mention soal perempuan gue jadi terharu dan he's right kalo persoalan tentang perempuan ini salah satu masalah paling penting di indonesia,ngeliat pak anies mention soal perempuan gue jadi terharu dan he s right kalo persoalan tentang perempuan ini salah satu masalah paling penting di indonesia,ngeliat pak anies mention soal perempuan gue jadi haru dan he s right kalo soal tentang perempuan ini salah satu masalah paling penting di indonesia,,ngeliat pak anies mention soal perempuan gue jadi haru dan he s right kalo soal tentang perempuan ini salah satu masalah paling penting di indonesia,10,Positif
"pak anies nanya soal peranan perempuan pak prabs jawabnya gizi untuk wanita hamil"" pak anies : ""mohon maaf pak bapak belum menjawab pertanyaan kami"" 😭😭😭🙏 pak anies sabar bgt""",pak anies nanya soal peranan perempuan pak prabs jawabnya gizi untuk wanita hamil  pak anies    mohon maaf pak bapak belum menjawab pertanyaan kami       pak anies sabar bgt ,pak anies nanya soal peran perempuan pak prabs jawab gizi untuk wanita hamil pak anies mohon maaf pak bapak belum jawab tanya kami pak anies sabar bgt,,pak anies nanya soal peran perempuan pak prabs jawab gizi untuk wanita hamil pak anies mohon maaf pak bapak belum jawab tanya kami pak anies sabar bgt,5,Positif
Anies : Saya setuju Pak Prabowo😝  #WaktunyaPrabowoGibran  #AkhirnyaPilihPrabowo #GemoySamsul https://t.co/qIfjpTflyQ,anies   saya setuju pak prabowo    waktunyaprabowogibran   akhirnyapilihprabowo  gemoysamsul https   t co qifjptflyq,anies saya tuju pak prabowo waktunyaprabowogibran akhirnyapilihprabowo gemoysamsul https t co qifjptflyq,,anies saya tuju pak prabowo waktunyaprabowogibran akhirnyapilihprabowo gemoysamsul https t co qifjptflyq,10,Positif
PAK ANIES NGEBAHAS CAT CALLING PEREMPUAN 🥹🥹🥹🥹🥹,pak anies ngebahas cat calling perempuan      ,pak anies ngebahas cat calling perempuan,,pak anies ngebahas cat calling perempuan,7,Positif
CINTA BANGET SAMA ABAH YAA ALLAH.. semua yg kita butuhkan Abah sebut    ABAH ANIES ROCKS DEBAT CAPRES  #AForEvery1  #AniesFinalStage #debatcapres2024,cinta banget sama abah yaa allah   semua yg kita butuhkan abah sebut    abah anies rocks debat capres   aforevery1   aniesfinalstage  debatcapres2024,cinta banget sama abah yaa allah semua yg kita butuh abah sebut abah anies rocks debat capres aforevery1 aniesfinalstage debatcapres2024,,cinta banget sama abah yaa allah semua yg kita butuh abah sebut abah anies rocks debat capres aforevery1 aniesfinalstage debatcapres2024,21,Positif
PAK ANIES MEMBAWA TOPIK PEREMPUAN 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,pak anies membawa topik perempuan                    ,pak anies bawa topik perempuan,,pak anies bawa topik perempuan,10,Positif
"Anies : Terkait persoalan perempuan, jelaskan apa yang kurang dalam pemberdayaan dan perlindungan perempuan skrg dan bagaimana mengubahnya",anies   terkait persoalan perempuan  jelaskan apa yang kurang dalam pemberdayaan dan perlindungan perempuan skrg dan bagaimana mengubahnya,anies kait soal perempuan jelas apa yang kurang dalam daya dan lindung perempuan skrg dan bagaimana ubah,,anies kait soal perempuan jelas apa yang kurang dalam daya dan lindung perempuan skrg dan bagaimana ubah,17,Positif
YA ALLAH PAK ANIES MASHAALLAH,ya allah pak anies mashaallah,ya allah pak anies mashaallah,,ya allah pak anies mashaallah,14,Positif
12. Anies Baswedan adalah pemimpin yang percaya pada kolaborasi dan dialog yang konstruktif untuk mencapai perubahan yang berkelanjutan. AniesPresiden PKSPartaiku #CoblosPKSAniesPresiden @PKSejahtera @FPKSDPRRI,12  anies baswedan adalah pemimpin yang percaya pada kolaborasi dan dialog yang konstruktif untuk mencapai perubahan yang berkelanjutan  aniespresiden pkspartaiku  coblospksaniespresiden  pksejahtera  fpksdprri,12 anies baswedan adalah pimpin yang percaya pada kolaborasi dan dialog yang konstruktif untuk capai ubah yang lanjut aniespresiden pkspartaiku coblospksaniespresiden pksejahtera fpksdprri,,12 anies baswedan adalah pimpin yang percaya pada kolaborasi dan dialog yang konstruktif untuk capai ubah yang lanjut aniespresiden pkspartaiku coblospksaniespresiden pksejahtera fpksdprri,13,Positif
tindak tegas pelaku sex violence! setuju p anies,tindak tegas pelaku sex violence  setuju p anies,tindak tegas laku sex violence tuju p anies,,tindak tegas laku sex violence tuju p anies,11,Positif
"PEREMPUAN HARUS PUNYA UPAH YANG SETARA DENGAN LAKI-LAKI""  - ma man Anies Basdewan💥🔥⚡️🌾""",perempuan harus punya upah yang setara dengan laki laki     ma man anies basdewan      ,perempuan harus punya upah yang tara dengan laki laki ma man anies basdewan,,perempuan harus punya upah yang tara dengan laki laki ma man anies basdewan,11,Positif
GRHHHH pak anies pas bilang data trs ditambahi 'itu angka yang dilaporkan' tau bgt kalo data yg didapet itu sebenernya gak akurat2 amat,grhhhh pak anies pas bilang data trs ditambahi  itu angka yang dilaporkan  tau bgt kalo data yg didapet itu sebenernya gak akurat2 amat,grhhhh pak anies pas bilang data trs tambah itu angka yang lapor tau bgt kalo data yg didapet itu sebenernya gak akurat2 amat,,grhhhh pak anies pas bilang data trs tambah itu angka yang lapor tau bgt kalo data yg didapet itu sebenernya gak akurat2 amat,-1,Negatif
anjir i love pa anies banget bangetb😍🫶🫶🫶,anjir i love pa anies banget bangetb    ,anjir i love pa anies banget bangetb,,anjir i love pa anies banget bangetb,7,Positif
"@idextratime Ga kuat ti ngeliat ini pas anies disuruh nanya ke prabowo, malah nyengir2 wkakwkaka https://t.co/9DYWWS2D8p", idextratime ga kuat ti ngeliat ini pas anies disuruh nanya ke prabowo  malah nyengir2 wkakwkaka https   t co 9dywws2d8p,idextratime ga kuat ti ngeliat ini pas anies suruh nanya ke prabowo malah nyengir2 wkakwkaka https t co 9dywws2d8p,,idextratime ga kuat ti ngeliat ini pas anies suruh nanya ke prabowo malah nyengir2 wkakwkaka https t co 9dywws2d8p,0,Netral
