full_text,cleaned-texts,stemmed-texts,pre-process,sentiment_score,sentiment
@titymargana @tham878 @deddysitorus Orang mau cari benar sendiri jiarno !!sing penting 58 59℅ syah. Prabowo Gibran gak bisa digugat lagi. DEDY SITORUS MEMANG OKE , titymargana  tham878  deddysitorus orang mau cari benar sendiri jiarno   sing penting 58 59  syah  prabowo gibran gak bisa digugat lagi  dedy sitorus memang oke ,titymargana tham878 deddysitorus orang mau cari benar sendiri jiarno sing penting 58 59 syah prabowo gibran gak bisa gugat lagi dedy sitorus memang oke,titymargana tham878 deddysitorus orang mau cari benar sendiri jiarno sing penting 58 59 syah prabowo gibran gak bisa gugat lagi dedy sitorus memang oke,1.0,Positif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes,indek desa membangun  idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendespdtt  malik haramain  imansyukri  taufikmadjid71  yusradaridesa  azzameldzikrie  tppkemendes,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes,8.0,Positif
@babymet42040068 @SenderLabs Yuk sama2 paket komplitnya, babymet42040068  senderlabs yuk sama2 paket komplitnya,babymet42040068 senderlabs yuk sama2 paket komplitnya,babymet42040068 senderlabs yuk sama2 paket komplitnya,8.0,Positif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/GDVMLMsdB4,indek desa membangun  idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendespdtt  malik haramain  imansyukri  taufikmadjid71  yusradaridesa  azzameldzikrie  tppkemendes    t co gdvmlmsdb4,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gdvmlmsdb4,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gdvmlmsdb4,8.0,Positif
@kakacikay @SenderLabs Aku sudah komen tapi belum dibek, kakacikay  senderlabs aku sudah komen tapi belum dibek,kakacikay senderlabs aku sudah komen tapi belum bek,kakacikay senderlabs aku sudah komen tapi belum bek,-6.0,Negatif
Pemutakhiran Data IDM tahun 2024 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes @maulanakpw @irfan_11 @Supri_Jatim @FaridW1010 https://t.co/Qb2aKFMPbY,pemutakhiran data idm tahun 2024  idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendespdtt  malik haramain  imansyukri  taufikmadjid71  yusradaridesa  azzameldzikrie  tppkemendes  maulanakpw  irfan 11  supri jatim  faridw1010    t co qb2akfmpby,mutakhir data idm tahun 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes maulanakpw irfan 11 supri jatim faridw1010 t co qb2akfmpby,mutakhir data idm tahun 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes maulanakpw irfan 11 supri jatim faridw1010 t co qb2akfmpby,11.0,Positif
@rasvegaa @SenderLabs Dah paket lengkap tuh kak, rasvegaa  senderlabs dah paket lengkap tuh kak,rasvegaa senderlabs dah paket lengkap tuh kak,rasvegaa senderlabs dah paket lengkap tuh kak,3.0,Positif
Pascaputusan MK dan Penetapan KPU Mungkin Akan Ada Susunan Koalisi Baru Prabowo-Gibran https://t.co/hddy7B2GCD #beritajogja #jogja #jogjaistimewa https://t.co/gsfroZ1GMe,pascaputusan mk dan penetapan kpu mungkin akan ada susunan koalisi baru prabowo gibran    t co hddy7b2gcd  beritajogja  jogja  jogjaistimewa    t co gsfroz1gme,pascaputusan mk dan tetap kpu mungkin akan ada susun koalisi baru prabowo gibran t co hddy7b2gcd beritajogja jogja jogjaistimewa t co gsfroz1gme,pascaputusan mk dan tetap kpu mungkin akan ada susun koalisi baru prabowo gibran t co hddy7b2gcd beritajogja jogja jogjaistimewa t co gsfroz1gme,10.0,Positif
IDM sebagai tolak ukur desa dalam mewujudkan tujuan pembangunan dan arah SDGs desa... #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/0sM92yCDUk,idm sebagai tolak ukur desa dalam mewujudkan tujuan pembangunan dan arah sdgs desa     idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendespdtt  malik haramain  imansyukri  taufikmadjid71  yusradaridesa  azzameldzikrie  tppkemendes    t co 0sm92ycduk,idm bagai tolak ukur desa dalam wujud tuju bangun dan arah sdgs desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 0sm92ycduk,idm bagai tolak ukur desa dalam wujud tuju bangun dan arah sdgs desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 0sm92ycduk,16.0,Positif
Kepake lagi sekali https://t.co/JGsUdoSB3H,kepake lagi sekali    t co jgsudosb3h,kepake lagi sekali t co jgsudosb3h,kepake lagi sekali t co jgsudosb3h,-3.0,Negatif
