full_text,sentiment
Tak hadiri penetapan Prabowo-Gibran siapa yang dusta? Gimana tanggapan kalean lur? kasih paham di kolom komentar ya! #prabowo #gibran #ganjarpranowo #mahfudmd https://t.co/hWWWxugDY0,Negatif
@Bambangmulyonoo @PDI_Perjuangan Apanya yang game over istilah kapal jangkarnya sudah dilego jangkar itu bernama Gibran Rakabuming Raka. Kapal ymg terombang ambing ambing itu bernama @PDI_Perjuangan .,Negatif
@praditdita @adith_wp @petitestardust G dulu = Gibran dulu? Ciyeeee,Negatif
Kalkulasi Politik Andai Anies Rasyid Baswedan jadi Oposisi atau Masuk Pemerintahan. Jangan pula kt bilang bhw Partai NasDem PKB dan PKS telah berkhianat krn ada kadernya menjadi menterinya Prabowo-Gibran. https://t.co/YUOrhqAdOr @Mayapada0812 @m1n4_95 @DoankWarto @mulanbilqis https://t.co/CX11s94h4W,Negatif
Dengan IDM dapat membantu arah fokus arah pembangunan di desa. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/3BCAPNfYNo,Positif
@geloraco Prabowo gibran gak bakal nyampe 2 tahun..,Negatif
Mari Sukseskan Pemutakhiran Indeks Desa membangun (IDM) 20244 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/t0KkyyPbhY,Positif
AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. unv PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/SQwUKa2GKn,Positif
@BiLLRaY2019 Pernyataan dari Prabowo (Presiden) sedang pertanyaanya tertuju pafa Gibran (wakil Presoden) sampeyan putrane sinten (bopo) Lolos syarat nyawapres berkat paringane sinten ( si om ) Ini gimana pososi pernyataan PS thd pertanyaan kpd GRR,Negatif
@aniesbaswedan @VivianBala 1000 pengacara ngga ada yg mampu buktiin nepotisme yang dituduhkan ke gibran waduh...1000 pengacara sampah semua.,Negatif
@msobri99 Separah parahnya netizen lebih parah lagi yang ini bahkan juga MK berarti Jokowi gak punya anak laki dengan nama Gibran jadi mikir gw lantas dia anak siapa ,Negatif
AHY diskusi masalah bangsa dengan Gibran: Tantangan global makin kompleks. gxp AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/AX3jO4ZFkq,Positif
@MafiaWasit Gibran vs haritanoe menang spo mbah,Positif
@Dennysiregar7 Dengarkan tuh...@kaesangp ga usah ikut2 @gibran_tweet dia mah anak presiden,Negatif
SBY dan AHY kompak ajak masyarakat Banyuwangi pilih Prabowo-Gibran. qx] AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/G9CE3I1MNk,Positif
Terlihat dengan setia pak SBY presiden ke 6 Indonesia di atas panggung bersama dengan mas AHY juga mendukung Prabowo Gibran.. mwi PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/cIt208yYEH,Positif
Kegiatan pendataan IDM Kementerian Desa PDT dilaksanakan oleh TPP berkolaborasi dgn stakeholder di Desa. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/XQfjYyZRKl,Positif
Bapak SBY dan Mas AHY pun duduk diatas panggung ikut serta mendukung Prabowo Gibran. qfx AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/RdgbsRtlEt,Positif
Pendataan IDM Kemendesa PDTT rutin dilaksanakan oleh TPP berkolaborasi dgn stakeholder terkait di Desa-desa terbukti mendapat apresiasi dari berbagai pihak #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71,Positif
@ARSIPAJA next Gibran tunjuk Jokowi,Netral
Menutup masa kampanye @PDemokrat hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran.. vmi AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/UEqxcEg9Lw,Positif
@yusufagro @gustavssondhela @prabowo @gibran_tweet @BANGSAygSUJUD @Chavesz08 @AditBandit234 @Gerindra @Kenikir27 @AnisHectorium @AlmaghribiS @askencana @Papa_Brewook Iya negara punya nenek loe kami mah cuma ngontrak ...,Negatif
Di fotoin ayang Fotoin ayang https://t.co/ixOFC45hK8,Netral
@Perokofk tidak,Negatif
Pemutakhiran Data IDM 2024 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/pRGwCjP9DT,Positif
@MpokJule @PartaiSocmed @aven_januar @prabowo @gibran_tweet Sekjen Gerindra hadir ...,Netral
@tanyarlfes Cara terkenal emang hrus dihujat gtu. Nti bnyak penggemarnya. Lalu diajak dukung gibran.,Negatif
@justcegil lucu sekali,Positif
Desa Mandiri Naik Jadi 11.456 Desa Gus Menteri @halimiskandarnu : Ini Jadi Motivasi Daerah Lain Genjot Pembangunan Desa Klik baca : https://t.co/hyqhAvNcrY #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @taufikmadjid71 https://t.co/JtjhtjSMd5,Positif
@tppkemendes @halimiskandarnu @jokowi @prabowo @gibran_tweet @taufikmadjid71 @malik_haramain @imansyukri Mantap selalu sukses untuk indonesia maju,Positif
@okyanggriawan_ @tvOneNews Jng suruh2 orang yg bebal dg aturan. Aturan MK aja berani dikotak katik dah songong culas tak punya malu pula. Semoga tdk ada keberkahan hidup si Gibran.,Negatif
@StefanAntonio__ @PDI_Perjuangan @ganjarpranowo Klw PDIP menerima pinangan om wowo itu artinya apa yg sudah mereka teriakkan selama ini brarti kosong melompong wlwpun pake syarat tanpa gibran 'kan ga mung'in ,Negatif
@AREAJULID @prabowo @gibran_tweet kedepannya tugas panjenengan mungkin hal ini harus segera diurus rubah sistem masalah bea cukai di indonesia.,Negatif
PKB dan NasDem Gabung Koalisi Prabowo-Gibran Anies Bilang Begini https://t.co/CZP6wS1TbW #beritajogja #jogja #jogjaistimewa https://t.co/Ksp9LmLf4X,Positif
@hidahidaan Tapi pensiunan projo mau buat relawan gibran ... bakal rame terus,Positif
IDM sangat penting dalam proses pembangunan Desa #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/GBiKIaBRLa https://t.co/dPJE8NXQuN,Positif
Pendataan IDM Kemendesa PDTT rutin dilaksanakan oleh TPP berkolaborasi dengan stakeholder terbukti mendapat apresiasi dari berbagai pihak. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @azzameldzikrie https://t.co/ImFhgv6u8n,Positif
@gregoryalfared @SenderLabs Gak bisa satset,Negatif
Prabowo-Gibran Kemaruk Jabatan?.,Negatif
@gibran_tweet benerin bisa kalii..,Negatif
@sukardiyahya162 @gibran_tweet @ganjarpranowo @mohmahfudmd Ente ente pler kwkwkkww,Negatif
Gegara Hal Ini Kekuatan Prabowo-Gibran diyakini Bertambah Berkali Lipat https://t.co/EUXz6a0npv,Positif
@kansasrisky_ @SenderLabs Tetep semangat,Positif
Prabowo Gibran Bisa Apa?.,Negatif
@petanipunk @saakuru_labs Dono bung,Netral
#IDMKemendesBISA @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes Sosialisasi percepatan input IDM 2024 https://t.co/2yTpjTongo,Netral
@PartaiSocmed @aven_januar @prabowo @gibran_tweet PKS bukan urusan penting.... ,Negatif
Bahahahahahahahaha udah ngata²in Prabowo &amp; Gibran di media sosial sama kadernya eh petinggi PKS ngarep jabatan di Pemerintahan Prabowo. ,Negatif
IDM untuk mengetahui perkembangan suatu desa dan sebagai dasar arah pembangunan desa. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/G1c6iU2K1K,Positif
Diminta pesan² buat pemerintahan Prabowo-Gibran eh malah nembak Metro TV karena kopinya ga ada. https://t.co/jxZN46bnup,Negatif
@KhaerulArshaka @SenderLabs Semangat lur,Positif
@BANGSAygSUJUD @prabowo @gibran_tweet @budimandjatmiko Hati2 pkb merapat mereka tidak rela kemendes lepas,Negatif
@IncDiana @SenderLabs Secapat cahaya,Netral
@elsaday__ Aku orang pinggir jalan cari uang susah sekarang ...efek prabowo gibran menang. Rugi dongk...usahakecil https://t.co/pdaq0kxcT7,Negatif
@AKU_dgn3putra Pelangaran etik tetap. Gibran pake paman buat rubah UU juga tetap pelanggaran Bagi bagi sembako juga terbukti. Cuma konstitusi tetap memenangkan 02. Jadi secara hukum amin kalah. Menerima kekalahan bukan berarti mentolelir kecurangannya,Negatif
Dampingi Gibran bertemu SBY AHY: Demokrat all-out menangkan Prabowo Gibran. vw^ AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/Os2wneAfeS,Positif
@kompascom Lhoo lha emang menteri2 PDIP yang melantik TKN Prabowo-Gibran? Aneh. Makin ke sini kok makin ke situ https://t.co/Tjy4E2eYgT,Negatif
AHY sebut hilirisasi warisan SBY Prabowo-Gibran diminta perkuat lagi agromaritim.. rlw AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/Wq5mPZWQuS,Positif
https://t.co/o31ZJGScGG Sosialisasi Indeks Desa Bagi Tenaga Pendamping Profesional Wilayah Sumat... @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie,Positif
@_sekarkinanthi_ @Gerindra @fadlizon @psi_id @prabowo @Dahnilanzar @andre_rosiade @bang_dasco @jokowi @Dennysiregar7 @Aryprasetyo85 @aariejazz @ZUL_Hasan @golkarpedia @golkar_id @Fahrihamzah @bjah89 @branjangankawat @BiLLRaY2019 @NgkongRoses @YRadianto @PartBurungGalak @CherylTanzil @grace_nat @03__nakula @DedynurPalakka @gibran_tweet @dewiirawan13 @hilalmultibiz @DS_yantie @widarto63285827 @seruanhl @RIPDEMOKRASI DNA Pengkhianat Soemitro.... https://t.co/Xi3T7Bh9Ba,Negatif
Terbukti menangkan pilpres 2 kali pengamat nilai peran Demokrat menangkan Prabowo-Gibran sangat vital.. c^k PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/AMfBReLG53,Positif
All out menangkan Prabowo Gibran AHY: Kita wujudkan kesejahteraan rakyat.. \m_ PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/toccRHhBxC,Positif
Kegiatan pendataan IDM (Indeks Desa Membangun) Kementerian Desa PDTT rutin dilaksanakan oleh TPP #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/yTJ8FxpRSW,Positif
@tppkemendes @halimiskandarnu @jokowi @prabowo @gibran_tweet @taufikmadjid71 @malik_haramain @imansyukri Sukses Gus. Menteri... IDM-2024,Positif
AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. unv PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/Pn7QeRQvGt,Positif
AHY diskusi masalah bangsa dengan Gibran: Tantangan global makin kompleks. gxp AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/23jMwsftMp,Positif
@hidahidaan Gibran akan diplot seperti Kyai Maruf untuk mengambil suara fanatis. KHMA ambil suara Nahdliyin Gibran mengamankan suara Projo.,Negatif
SBY dan AHY kompak ajak masyarakat Banyuwangi pilih Prabowo-Gibran. qx] AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/uVvqtOONS2,Positif
Terlihat dengan setia pak SBY presiden ke 6 Indonesia di atas panggung bersama dengan mas AHY juga mendukung Prabowo Gibran.. mwi PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/HSyslpDKGE,Positif
Bapak SBY dan Mas AHY pun duduk diatas panggung ikut serta mendukung Prabowo Gibran. qfx AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/fSiBcdwxgw,Positif
Menutup masa kampanye @PDemokrat hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran.. vmi AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/8apoN2rvSZ,Positif
Desa Mandiri Naik Jadi 11.456 Desa Gus Menteri @halimiskandarnu : Ini Jadi Motivasi Daerah Lain Genjot Pembangunan Desa Klik baca : https://t.co/hyqhAvNcrY #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @taufikmadjid71 @malik_haramain @imansyukri https://t.co/ZJRZ8EnLjo,Positif
@msobri99 Kok malah nyindir Gibran? Dibilang berprestasi berani berkorban dan tulus mengabdi. Huh!,Negatif
#IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes Sosialisasi Indeks Desa Bagi Tenaga Pendamping Profesional Wilayah Sumat...,Positif
Dampingi Gibran bertemu SBY AHY: Demokrat all-out menangkan Prabowo Gibran. vw^ AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/KKYDaPVbbQ,Positif
@zarryhendrik Gibran bang. Keren. Wapres termuda sepanjang sejarah Indonesia. Attitudenya jempolan. Kecerdasannya mengalahkan profesor. Semoga anak abang persis mirip Gibran dr segala aspeknya atau kalau mau ada unsur jawanya bisa menamakan anak dengan nama Widodo.,Positif
Proses penginputan IDM 2024 desa dampingan #idmkemendesbisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @tppkemendes https://t.co/4efXRQ5Sfj,Positif
@Mdy_Asmara1701 Bener kok Gibran sebelum jd wapres dan walikota jg harus jd anaknya pak jokowi dulu... Itu proses yg sulit dan panjang asliii,Negatif
