full_text,cleaned-texts,stemmed-texts,tokenized-texts,pre-process,sentiment_score,sentiment
@titymargana @tham878 @deddysitorus Orang mau cari benar sendiri jiarno !!sing penting 58 59℅ syah. Prabowo Gibran gak bisa digugat lagi. DEDY SITORUS MEMANG OKE ,titymargana tham878 deddysitorus orang mau cari benar sendiri jiarno sing penting 58 59 syah prabowo gibran gak bisa digugat lagi dedy sitorus memang oke,titymargana tham878 deddysitorus orang mau cari benar sendiri jiarno sing penting 58 59 syah prabowo gibran gak bisa gugat lagi dedy sitorus memang oke,,titymargana tham878 deddysitorus orang mau cari benar sendiri jiarno sing penting 58 59 syah prabowo gibran gak bisa gugat lagi dedy sitorus memang oke,4.0,Positif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes,indek desa membangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes,,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes,5.0,Positif
@babymet42040068 @SenderLabs Yuk sama2 paket komplitnya,babymet42040068 senderlabs yuk sama2 paket komplitnya,babymet42040068 senderlabs yuk sama2 paket komplitnya,,babymet42040068 senderlabs yuk sama2 paket komplitnya,8.0,Positif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/GDVMLMsdB4,indek desa membangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gdvmlmsdb4,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gdvmlmsdb4,,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gdvmlmsdb4,5.0,Positif
@kakacikay @SenderLabs Aku sudah komen tapi belum dibek,kakacikay senderlabs aku sudah komen tapi belum dibek,kakacikay senderlabs aku sudah komen tapi belum bek,,kakacikay senderlabs aku sudah komen tapi belum bek,-3.0,Negatif
Pemutakhiran Data IDM tahun 2024 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes @maulanakpw @irfan_11 @Supri_Jatim @FaridW1010 https://t.co/Qb2aKFMPbY,pemutakhiran data idm tahun 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes maulanakpw irfan 11 supri jatim faridw1010 t co qb2akfmpby,mutakhir data idm tahun 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes maulanakpw irfan 11 supri jatim faridw1010 t co qb2akfmpby,,mutakhir data idm tahun 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes maulanakpw irfan 11 supri jatim faridw1010 t co qb2akfmpby,8.0,Positif
@rasvegaa @SenderLabs Dah paket lengkap tuh kak,rasvegaa senderlabs dah paket lengkap tuh kak,rasvegaa senderlabs dah paket lengkap tuh kak,,rasvegaa senderlabs dah paket lengkap tuh kak,3.0,Positif
Pascaputusan MK dan Penetapan KPU Mungkin Akan Ada Susunan Koalisi Baru Prabowo-Gibran https://t.co/hddy7B2GCD #beritajogja #jogja #jogjaistimewa https://t.co/gsfroZ1GMe,pascaputusan mk dan penetapan kpu mungkin akan ada susunan koalisi baru prabowo gibran t co hddy7b2gcd beritajogja jogja jogjaistimewa t co gsfroz1gme,pascaputusan mk dan tetap kpu mungkin akan ada susun koalisi baru prabowo gibran t co hddy7b2gcd beritajogja jogja jogjaistimewa t co gsfroz1gme,,pascaputusan mk dan tetap kpu mungkin akan ada susun koalisi baru prabowo gibran t co hddy7b2gcd beritajogja jogja jogjaistimewa t co gsfroz1gme,3.0,Positif
IDM sebagai tolak ukur desa dalam mewujudkan tujuan pembangunan dan arah SDGs desa... #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/0sM92yCDUk,idm sebagai tolak ukur desa dalam mewujudkan tujuan pembangunan dan arah sdgs desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 0sm92ycduk,idm bagai tolak ukur desa dalam wujud tuju bangun dan arah sdgs desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 0sm92ycduk,,idm bagai tolak ukur desa dalam wujud tuju bangun dan arah sdgs desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 0sm92ycduk,13.0,Positif
Kepake lagi sekali https://t.co/JGsUdoSB3H,kepake lagi sekali t co jgsudosb3h,kepake lagi sekali t co jgsudosb3h,,kepake lagi sekali t co jgsudosb3h,-3.0,Negatif
Perhatian pak @prabowo pak @gibran_tweet. Rakyat Indonesia yang memilih bapak tidak ikhlas jika @aniesbaswedan @ganjarpranowo @cakimiNOW ada di dalam kabinet pemerintah yang akan datang. Safe Prof @mohmahfudmd 🇲🇨,perhatian pak prabowo pak gibran tweet rakyat indonesia yang memilih bapak tidak ikhlas jika aniesbaswedan ganjarpranowo cakiminow ada di dalam kabinet pemerintah yang akan datang safe prof mohmahfudmd,perhati pak prabowo pak gibran tweet rakyat indonesia yang pilih bapak tidak ikhlas jika aniesbaswedan ganjarpranowo cakiminow ada di dalam kabinet perintah yang akan datang safe prof mohmahfudmd,,perhati pak prabowo pak gibran tweet rakyat indonesia yang pilih bapak tidak ikhlas jika aniesbaswedan ganjarpranowo cakiminow ada di dalam kabinet perintah yang akan datang safe prof mohmahfudmd,18.0,Positif
@namilaze1 @SenderLabs Tumben telat bang,namilaze1 senderlabs tumben telat bang,namilaze1 senderlabs tumben telat bang,,namilaze1 senderlabs tumben telat bang,-6.0,Negatif
@baraqueue @SenderLabs Aku gak pelit kok say,baraqueue senderlabs aku gak pelit kok say,baraqueue senderlabs aku gak pelit kok say,,baraqueue senderlabs aku gak pelit kok say,-9.0,Negatif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/49yazCLeVp,indek desa membangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 49yazclevp,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 49yazclevp,,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 49yazclevp,5.0,Positif
@Adityadh93 @SenderLabs Awas tidak diback,adityadh93 senderlabs awas tidak diback,adityadh93 senderlabs awas tidak diback,,adityadh93 senderlabs awas tidak diback,-8.0,Negatif
@Gerindra @yusufagro @prabowo @gibran_tweet @BANGSAygSUJUD @Chavesz08 @AditBandit234 @Kenikir27 @AnisHectorium @AlmaghribiS @askencana @Papa_Brewook Justru untuk kebaikan bangsa jangan libatkan orang² berpotensi merugikan bangsa,gerindra yusufagro prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 kenikir27 anishectorium almaghribis askencana papa brewook justru untuk kebaikan bangsa jangan libatkan orang berpotensi merugikan bangsa,gerindra yusufagro prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 kenikir27 anishectorium almaghribis askencana papa brewook justru untuk baik bangsa jangan libat orang potensi rugi bangsa,,gerindra yusufagro prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 kenikir27 anishectorium almaghribis askencana papa brewook justru untuk baik bangsa jangan libat orang potensi rugi bangsa,-2.0,Negatif
@PRAKA_08 Bodo amat sih.. Intinya junjungan lo si Gibran kayaknya bakal jadi pajangan doang. Dikira Prabowo polos ya dengerin opini2 Gibran? ,praka 08 bodo amat sih intinya junjungan lo si gibran kayaknya bakal jadi pajangan doang dikira prabowo polos ya dengerin opini2 gibran,praka 08 bodo amat sih inti junjung lo si gibran kayak bakal jadi pajang doang kira prabowo polos ya dengerin opini2 gibran,,praka 08 bodo amat sih inti junjung lo si gibran kayak bakal jadi pajang doang kira prabowo polos ya dengerin opini2 gibran,-10.0,Negatif
@arrjjun_ @irfanyu97 @SenderLabs Gotong royong yuk,arrjjun irfanyu97 senderlabs gotong royong yuk,arrjjun irfanyu97 senderlabs gotong royong yuk,,arrjjun irfanyu97 senderlabs gotong royong yuk,4.0,Positif
Ketua Umum partai NasDem Surya Paloh mengaku belum ada tawaran posisi menteri ke NasDem seusai bergabung dalam pemerintahan Prabowo-Gibran. https://t.co/CI1gneVntk,ketua umum partai nasdem surya paloh mengaku belum ada tawaran posisi menteri ke nasdem seusai bergabung dalam pemerintahan prabowo gibran t co ci1gnevntk,ketua umum partai nasdem surya paloh aku belum ada tawar posisi menteri ke nasdem usai gabung dalam perintah prabowo gibran t co ci1gnevntk,,ketua umum partai nasdem surya paloh aku belum ada tawar posisi menteri ke nasdem usai gabung dalam perintah prabowo gibran t co ci1gnevntk,-2.0,Negatif
@kokon_manise @Klinton009 @SenderLabs @saakuru_labs @Imaginary_Ones @ParamLaboratory Dibek yah... Ikan sepat ikan gabus Semakin cepat semakin bagus,kokon manise klinton009 senderlabs saakuru labs imaginary ones paramlaboratory dibek yah ikan sepat ikan gabus semakin cepat semakin bagus,kokon manise klinton009 senderlabs saakuru labs imaginary ones paramlaboratory bek yah ikan sepat ikan gabus makin cepat makin bagus,,kokon manise klinton009 senderlabs saakuru labs imaginary ones paramlaboratory bek yah ikan sepat ikan gabus makin cepat makin bagus,7.0,Positif
Prabowo dg trah jokowi itu gak akrab2 banget. Aku sih pgn liat prabowo nyikat gibran nanti,prabowo dg trah jokowi itu gak akrab2 banget aku sih pgn liat prabowo nyikat gibran nanti,prabowo dg trah jokowi itu gak akrab2 banget aku sih pgn liat prabowo nyikat gibran nanti,,prabowo dg trah jokowi itu gak akrab2 banget aku sih pgn liat prabowo nyikat gibran nanti,-1.0,Negatif
@Heraloebss @prabowo @gibran_tweet Klen pd pula prabowo tdk sm dgn jokowi. Klw jokowi ya mungkin mau diatur buzzer dadakan ,heraloebss prabowo gibran tweet klen pd pula prabowo tdk sm dgn jokowi klw jokowi ya mungkin mau diatur buzzer dadakan,heraloebss prabowo gibran tweet klen pd pula prabowo tdk sm dgn jokowi klw jokowi ya mungkin mau atur buzzer dada,,heraloebss prabowo gibran tweet klen pd pula prabowo tdk sm dgn jokowi klw jokowi ya mungkin mau atur buzzer dada,-11.0,Negatif
Bagaimana Gerakan Perubahan Usai Pilpres? Prabowo Gibran juga berjanji akan meningkatkan produktivitas pertanian dengan mencetak dan meningkatkan produktivitas lahan pertanian dengan lumbung pangan desa daerah dan nasional. https://t.co/hrKP6fn1zj @Mayapada0812 @m1n4_95 https://t.co/QUu6n4Pp2p,bagaimana gerakan perubahan usai pilpres prabowo gibran juga berjanji akan meningkatkan produktivitas pertanian dengan mencetak dan meningkatkan produktivitas lahan pertanian dengan lumbung pangan desa daerah dan nasional t co hrkp6fn1zj mayapada0812 m1n4 95 t co quu6n4pp2p,bagaimana gera ubah usai pilpres prabowo gibran juga janji akan tingkat produktivitas tani dengan cetak dan tingkat produktivitas lahan tani dengan lumbung pangan desa daerah dan nasional t co hrkp6fn1zj mayapada0812 m1n4 95 t co quu6n4pp2p,,bagaimana gera ubah usai pilpres prabowo gibran juga janji akan tingkat produktivitas tani dengan cetak dan tingkat produktivitas lahan tani dengan lumbung pangan desa daerah dan nasional t co hrkp6fn1zj mayapada0812 m1n4 95 t co quu6n4pp2p,10.0,Positif
@Ali306462164992 @SenderLabs Sore bang Ali jangan lupa bek,ali306462164992 senderlabs sore bang ali jangan lupa bek,ali306462164992 senderlabs sore bang ali jangan lupa bek,,ali306462164992 senderlabs sore bang ali jangan lupa bek,-5.0,Negatif
Pendampingan Kegiatan Pendataan IDM Kabupaten Trenggalek @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/sNeTHDWYBf,pendampingan kegiatan pendataan idm kabupaten trenggalek jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co snethdwybf,damping giat data idm kabupaten trenggalek jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co snethdwybf,,damping giat data idm kabupaten trenggalek jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co snethdwybf,7.0,Positif
@MurtadhaOne1 Nyindir Gibran dan ahy sekaligus,murtadhaone1 nyindir gibran dan ahy sekaligus,murtadhaone1 nyindir gibran dan ahy sekaligus,,murtadhaone1 nyindir gibran dan ahy sekaligus,-4.0,Negatif
@Kasayanto_ @PartaiSocmed @aven_januar @prabowo @gibran_tweet Sekretaris Parpol apakah representasi dari koalisi? Pemilu kali ini Gerindra tidak berdiri sendiri,kasayanto partaisocmed aven januar prabowo gibran tweet sekretaris parpol apakah representasi dari koalisi pemilu kali ini gerindra tidak berdiri sendiri,kasayanto partaisocmed aven januar prabowo gibran tweet sekretaris parpol apakah representasi dari koalisi milu kali ini gerindra tidak diri sendiri,,kasayanto partaisocmed aven januar prabowo gibran tweet sekretaris parpol apakah representasi dari koalisi milu kali ini gerindra tidak diri sendiri,-8.0,Negatif
Tak hadiri penetapan Prabowo-Gibran siapa yang dusta? Gimana tanggapan kalean lur? kasih paham di kolom komentar ya! #prabowo #gibran #ganjarpranowo #mahfudmd https://t.co/hWWWxugDY0,tak hadiri penetapan prabowo gibran siapa yang dusta gimana tanggapan kalean lur kasih paham di kolom komentar ya prabowo gibran ganjarpranowo mahfudmd t co hwwwxugdy0,tak hadir tetap prabowo gibran siapa yang dusta gimana tanggap kalean lur kasih paham di kolom komentar ya prabowo gibran ganjarpranowo mahfudmd t co hwwwxugdy0,,tak hadir tetap prabowo gibran siapa yang dusta gimana tanggap kalean lur kasih paham di kolom komentar ya prabowo gibran ganjarpranowo mahfudmd t co hwwwxugdy0,-11.0,Negatif
@Bambangmulyonoo @PDI_Perjuangan Apanya yang game over istilah kapal jangkarnya sudah dilego jangkar itu bernama Gibran Rakabuming Raka. Kapal ymg terombang ambing ambing itu bernama @PDI_Perjuangan .,bambangmulyonoo pdi perjuangan apanya yang game over istilah kapal jangkarnya sudah dilego jangkar itu bernama gibran rakabuming raka kapal ymg terombang ambing ambing itu bernama pdi perjuangan,bambangmulyonoo pdi juang apa yang game over istilah kapal jangkar sudah lego jangkar itu nama gibran rakabuming raka kapal ymg terombang ambing ambing itu nama pdi juang,,bambangmulyonoo pdi juang apa yang game over istilah kapal jangkar sudah lego jangkar itu nama gibran rakabuming raka kapal ymg terombang ambing ambing itu nama pdi juang,-12.0,Negatif
@praditdita @adith_wp @petitestardust G dulu = Gibran dulu? Ciyeeee,praditdita adith wp petitestardust g dulu gibran dulu ciyeeee,praditdita adith wp petitestardust g dulu gibran dulu ciyeeee,,praditdita adith wp petitestardust g dulu gibran dulu ciyeeee,-9.0,Negatif
Kalkulasi Politik Andai Anies Rasyid Baswedan jadi Oposisi atau Masuk Pemerintahan. Jangan pula kt bilang bhw Partai NasDem PKB dan PKS telah berkhianat krn ada kadernya menjadi menterinya Prabowo-Gibran. https://t.co/YUOrhqAdOr @Mayapada0812 @m1n4_95 @DoankWarto @mulanbilqis https://t.co/CX11s94h4W,kalkulasi politik andai anies rasyid baswedan jadi oposisi atau masuk pemerintahan jangan pula kt bilang bhw partai nasdem pkb dan pks telah berkhianat krn ada kadernya menjadi menterinya prabowo gibran t co yuorhqador mayapada0812 m1n4 95 doankwarto mulanbilqis t co cx11s94h4w,kalkulasi politik andai anies rasyid baswedan jadi oposisi atau masuk perintah jangan pula kt bilang bhw partai nasdem pkb dan pks telah khianat krn ada kader jadi menteri prabowo gibran t co yuorhqador mayapada0812 m1n4 95 doankwarto mulanbilqis t co cx11s94h4w,,kalkulasi politik andai anies rasyid baswedan jadi oposisi atau masuk perintah jangan pula kt bilang bhw partai nasdem pkb dan pks telah khianat krn ada kader jadi menteri prabowo gibran t co yuorhqador mayapada0812 m1n4 95 doankwarto mulanbilqis t co cx11s94h4w,1.0,Positif
Dengan IDM dapat membantu arah fokus arah pembangunan di desa. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/3BCAPNfYNo,dengan idm dapat membantu arah fokus arah pembangunan di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 3bcapnfyno,dengan idm dapat bantu arah fokus arah bangun di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 3bcapnfyno,,dengan idm dapat bantu arah fokus arah bangun di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 3bcapnfyno,6.0,Positif
@geloraco Prabowo gibran gak bakal nyampe 2 tahun..,geloraco prabowo gibran gak bakal nyampe 2 tahun,geloraco prabowo gibran gak bakal nyampe 2 tahun,,geloraco prabowo gibran gak bakal nyampe 2 tahun,-1.0,Negatif
Mari Sukseskan Pemutakhiran Indeks Desa membangun (IDM) 20244 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/t0KkyyPbhY,mari sukseskan pemutakhiran indeks desa membangun idm 20244 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co t0000kyypbhy,mari sukses mutakhir indeks desa bangun idm 20244 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co t0000kyypbhy,,mari sukses mutakhir indeks desa bangun idm 20244 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co t0000kyypbhy,11.0,Positif
AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. unv PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/SQwUKa2GKn,ahy ajak warga semarang menangkan prabowo gibran agar indonesia semakin maju unv pdemokrat agusyudhoyono demokrat demi rakyat t co sqwuka2gkn,ahy ajak warga semarang menang prabowo gibran agar indonesia makin maju unv pdemokrat agusyudhoyono demokrat demi rakyat t co sqwuka2gkn,,ahy ajak warga semarang menang prabowo gibran agar indonesia makin maju unv pdemokrat agusyudhoyono demokrat demi rakyat t co sqwuka2gkn,19.0,Positif
